Date,VFINX(t-1),TROW(t-1),AME(t-1),HON(t-1),DFS(t-1),ALL(t-1),ACN(t-1),ANSS(t-1),IEX(t-1),DOV(t-1),FBHS(t-1),FMC(t-1),ADP(t-1),ADBE(t-1),PFG(t-1),VFC(t-1),J(t-1),TEL(t-1),KSU(t-1),OKE(t-1),VFINX
2019-09-30,268.5914611816406,109.61174011230469,90.68254852294922,164.16322326660156,79.02828216552734,105.61685943603516,187.55047607421875,217.08999633789062,162.04994201660156,98.30451965332031,53.74090576171875,84.52301788330078,156.60606384277344,277.5400085449219,54.648433685302734,86.48426055908203,89.72428894042969,90.76383209228516,131.21014404296875,64.87930297851562,269.9573974609375
2019-10-01,269.9573974609375,110.79484558105469,91.12915802001953,165.2964324951172,78.62105560302734,106.44941711425781,188.50106811523438,221.36000061035156,161.39996337890625,97.74490356445312,53.95792007446289,86.04411315917969,157.57247924804688,276.25,54.42934036254883,86.67906951904297,90.52565002441406,91.22396850585938,131.69529724121094,65.2244873046875,266.6653747558594
2019-10-02,266.6653747558594,108.04073333740234,88.13188934326172,160.40203857421875,76.5365219116211,104.97040557861328,185.82569885253906,216.72999572753906,157.1157684326172,94.514892578125,53.66199493408203,82.61922454833984,156.60606384277344,272.7099914550781,52.56232452392578,86.69854736328125,88.56674194335938,89.60860443115234,127.73485565185547,64.35707092285156,261.8894348144531
2019-10-03,261.8894348144531,105.75210571289062,85.65068817138672,157.36380004882812,74.47137451171875,103.44242095947266,181.15115356445312,216.0399932861328,154.3778533935547,92.37462615966797,53.701446533203125,81.8047103881836,152.8868865966797,266.6600036621094,51.16205596923828,84.4582748413086,86.95410919189453,87.14151000976562,125.328857421875,63.401145935058594,264.04156494140625
2019-10-04,264.04156494140625,106.21758270263672,86.73249053955078,157.7936553955078,74.18050384521484,103.48159790039062,182.0919189453125,220.24000549316406,155.1263427734375,92.84587860107422,54.17493438720703,81.64769744873047,153.7849578857422,272.3999938964844,50.82866287231445,84.90632629394531,87.24156188964844,87.48416137695312,125.78430938720703,63.719783782958984,267.79547119140625
2019-10-07,267.79547119140625,107.62373352050781,88.16165161132812,159.85498046875,75.51848602294922,106.23392486572266,185.84530639648438,224.6300048828125,156.14076232910156,93.2680435180664,55.3586540222168,80.65653991699219,155.37611389160156,276.9599914550781,52.15271759033203,86.3868637084961,89.0357666015625,88.0030288696289,126.53680419921875,63.75518798828125,266.5965576171875
2019-10-08,266.5965576171875,106.60548400878906,87.33789825439453,159.4153289794922,75.33425903320312,105.25445556640625,183.07192993164062,223.1199951171875,153.77706909179688,92.91460418701172,55.467166900634766,79.54762268066406,155.102783203125,276.8999938964844,51.71454620361328,86.00698852539062,88.1238021850586,86.6422119140625,126.86354064941406,62.59568405151367,262.4495544433594
2019-10-09,262.4495544433594,104.4817123413086,85.3331069946289,154.96054077148438,72.88130187988281,103.72647094726562,178.5541534423828,216.6300048828125,150.00503540039062,90.31291198730469,54.490596771240234,77.5653076171875,152.5940399169922,270.8299865722656,49.885623931884766,84.7115249633789,87.56867980957031,83.73455047607422,125.47737884521484,60.365177154541016,264.9161376953125
2019-10-10,264.9161376953125,104.79203796386719,86.27594757080078,156.1523895263672,73.82177734375,104.38272094726562,180.6513214111328,220.49000549316406,151.5414276123047,91.67758178710938,54.97394561767578,77.99710845947266,154.68304443359375,274.2699890136719,50.77151107788086,86.15308380126953,88.28239440917969,85.29117584228516,127.78433990478516,60.72808837890625,266.6260681152344
2019-10-11,266.6260681152344,105.22843170166016,87.28827667236328,157.25633239746094,74.17080688476562,104.94102478027344,180.1515350341797,220.6699981689453,153.70814514160156,93.18949127197266,54.92462921142578,78.42888641357422,156.88917541503906,274.9800109863281,51.39067459106445,86.31867218017578,88.85733795166016,86.22122955322266,129.16061401367188,61.046722412109375,269.5643005371094
