Date,VFINX(t-1),TROW(t-1),AME(t-1),HON(t-1),DFS(t-1),ALL(t-1),ACN(t-1),ANSS(t-1),IEX(t-1),DOV(t-1),FBHS(t-1),FMC(t-1),ADP(t-1),ADBE(t-1),PFG(t-1),VFC(t-1),J(t-1),TEL(t-1),KSU(t-1),OKE(t-1),VFINX
2019/11/25,290.01001,122.580002,98.709999,176.509995,85.18,110.639999,198.360001,249.419998,160.929993,111.949997,63.77,98.519997,170.199997,305.279999,30.530001,86.550003,90.75,93.129997,154.020004,71.989998,290.649994
2019/11/26,290.649994,122.830002,99.260002,178.520004,84.730003,112.620003,200.919998,252.479996,161.880005,112.480003,64.800003,98.519997,171.619995,307.899994,30.440001,87.650002,91.470001,93.300003,154.570007,71.809998,291.899994
2019/11/27,291.899994,123.709999,99.489998,179.419998,85.120003,112.019997,201.25,255.449997,163.309998,112.099998,64.379997,98.779999,171.479996,309.059998,30.4,89.050003,92.529999,93.410004,154.559998,71.43,290.790009
2019/11/29,290.790009,123.559998,99.010002,178.550003,84.870003,111.349998,201.160004,254.690002,162.740005,111.480003,63.259998,97.959999,170.779999,309.529999,30.15,88.540001,92.089996,92.709999,152.419998,71.050003,288.290009
2019/12/2,288.290009,122.260002,97.540001,174.320007,84.059998,111.139999,199.589996,250.699997,160.190002,110.309998,62.43,97.860001,168.589996,302.75,29.9,87.989998,89.360001,90.959999,151.770004,70.82,286.380005
2019/12/3,286.380005,120.790001,96.870003,172.550003,82.959999,109.440002,198.75,250.369995,157.830002,109.029999,62.23,97.25,167.130005,303.910004,29.68,85.989998,88.629997,89.589996,149.490005,70.190002,288.220001
2019/12/4,288.220001,121.720001,96.699997,173.210007,83.629997,110.139999,199.580002,252.139999,157.360001,110.419998,63.16,96.910004,168.570007,302.51001,29.67,88.040001,86.290001,90.5,149.210007,70.830002,288.730011
2019/12/5,288.730011,123,97.68,174.009995,83.129997,109.540001,199.850006,252.990005,160.270004,111.330002,63.900002,97.989998,168.360001,303.029999,29.68,89.190002,85.639999,91.150002,150.350006,70.980003,291.380005
2019/12/6,291.380005,123.900002,98.550003,175.460007,84.309998,111.099998,202.550003,256.630005,163.229996,112.589996,64.599998,98.419998,169.979996,306.230011,29.790001,90.419998,85.019997,92.150002,152.639999,71.589996,290.480011
2019/12/9,290.480011,124.5,98.330002,174.490005,84.209999,111.32,202.029999,255.080002,162.820007,112.5,64.099998,99.190002,169.070007,307.049988,29.790001,90.849998,85.839996,91.559998,151.369995,72.199997,290.179993
2019/12/10,290.179993,122.349998,98.080002,174.039993,84.860001,110.739998,201.880005,252.570007,163.130005,112.860001,64,97.830002,168.429993,304.170013,30.040001,90.269997,87.129997,91.529999,151.160004,72.5,291.019989
2019/12/11,291.019989,123.610001,98.669998,176.009995,84.230003,109.589996,202.300003,251.630005,163.970001,113.169998,65.160004,98.25,167.240005,303.73999,30.370001,91.660004,88.089996,93.150002,153.419998,72.589996,293.559998
2019/12/12,293.559998,125.349998,99.300003,177.389999,86.379997,110.349998,203.919998,251.020004,166.860001,114.480003,65.519997,99.5,167.160004,305.959991,30.540001,93.360001,90.019997,94.449997,151.860001,72.910004,293.630005
2019/12/13,293.630005,123.220001,98.559998,176.979996,86.68,109.699997,206.660004,253.929993,167.369995,113.650002,65.089996,99.18,168.259995,317.940002,30.549999,93.150002,90.029999,94,151.440002,73.169998,295.730011
2019/12/16,295.730011,123.239998,99.260002,176.399994,86.129997,109.620003,205,257.940002,167.199997,113.129997,65.459999,99.519997,168.589996,323.799988,30.91,94.040001,89.269997,95.209999,152.990005,73.389999,295.829987
2019/12/17,295.829987,123.019997,99.199997,176.699997,86.510002,109.849998,203.399994,257.070007,169.190002,114.260002,65.980003,100.919998,168.320007,322.850006,31.200001,95.019997,89.440002,95.449997,154.039993,73.360001,295.730011
2019/12/18,295.730011,122.400002,98.959999,174.639999,86.510002,109.650002,205.759995,254.669998,169,113.599998,65.739998,100.269997,167.559998,324.380005,31.09,96.5,88.370003,95.510002,153.929993,73.889999,297.059998
2019/12/19,297.059998,122.519997,99.559998,176.5,86.32,111.209999,208.300003,255.75,168,113.470001,65.260002,98.370003,168.740005,327.630005,30.83,96.900002,88.540001,95.410004,153.039993,73.980003,297.179993
2019/12/20,297.179993,122.540001,99.779999,176.410004,86.699997,111.580002,211.100006,258.890015,171.369995,114.989998,65.300003,99.040001,171.089996,327.609985,30.870001,97.239998,90.040001,95.919998,155.100006,75.190002,297.429993
2019/12/23,297.429993,121.620003,100.139999,176.429993,85.339996,110.879997,210.830002,255.729996,173.360001,115.849998,64.470001,100.260002,170.020004,328.950012,30.48,98.349998,90.400002,95.080002,153.660004,75.989998,297.399994
2019/12/24,297.399994,122.199997,99.709999,176.309998,85.279999,111.169998,211.610001,256.48999,171.889999,115.260002,65.309998,100.919998,169.910004,329.640015,30.5,98.900002,89.57,95.199997,153.259995,75.599998,298.950012
2019/12/26,298.950012,122.870003,100.07,176.880005,85.489998,111.599998,212.050003,258.329987,172.729996,115.800003,65.489998,101.489998,170.350006,331.200012,30.700001,99.400002,90.089996,95.309998,153.559998,76.129997,298.959991
2019/12/27,298.959991,122.82,99.949997,176.479996,84.949997,111.870003,212.220001,258.679993,172.619995,115.470001,65.589996,101.129997,170.770004,330.790009,30.9,99.959999,89.540001,95.510002,154.479996,75.709999,297.269989
2019/12/30,297.269989,121.809998,99.93,176.419998,84.529999,111.769997,210.639999,256.799988,172.330002,115.239998,65.379997,99.220001,169.589996,328.339996,31.32,99.559998,89.620003,95.580002,153.089996,75.419998,298.160004
2019/12/31,298.160004,121.839996,99.739998,177,84.82,112.449997,210.570007,257.410004,172,115.260002,65.339996,99.82,170.5,329.809998,31.49,99.660004,89.830002,95.839996,153.160004,75.669998,300.690002
2020/1/2,300.690002,125.160004,100.800003,180.789993,85.300003,112.82,210.149994,259.589996,173.300003,116.870003,65.809998,99.879997,170.320007,334.429993,31.719999,100.230003,90.269997,96.510002,155.449997,75.709999,298.600006
2020/1/3,298.600006,124.75,100.940002,178.860001,83.879997,112.830002,209.800003,256.970001,172.759995,115.779999,65.389999,99.230003,169.960007,331.809998,31.950001,99.599998,90.889999,95.370003,155.259995,76.580002,299.649994
2020/1/6,299.649994,125.519997,101.050003,177.509995,82.400002,113.160004,208.429993,254.589996,172.940002,115.790001,65.889999,98.360001,170.190002,333.709991,31.370001,99.209999,90.720001,94.709999,154.889999,76.910004,298.839996
2020/1/7,298.839996,126.019997,101.629997,177.610001,81.489998,112.190002,203.929993,256.670013,170.809998,116.110001,65.559998,100.150002,168.130005,333.390015,30.91,98.720001,91.040001,96.669998,155.350006,76.849998,300.320007
